"Time","pashmina"
"2021-06-01",28
"2021-07-01",17
"2021-08-01",27
"2021-09-01",43
"2021-10-01",33
"2021-11-01",59
"2021-12-01",51
"2022-01-01",38
"2022-02-01",52
"2022-03-01",38
"2022-04-01",33
"2022-05-01",27
"2022-06-01",32
"2022-07-01",38
"2022-08-01",37
"2022-09-01",23
"2022-10-01",34
"2022-11-01",61
"2022-12-01",70
"2023-01-01",62
"2023-02-01",38
"2023-03-01",39
"2023-04-01",34
"2023-05-01",25
"2023-06-01",29
"2023-07-01",34
"2023-08-01",31
"2023-09-01",39
"2023-10-01",41
"2023-11-01",61
"2023-12-01",73
"2024-01-01",72
"2024-02-01",60
"2024-03-01",42
"2024-04-01",39
"2024-05-01",37
"2024-06-01",67
"2024-07-01",60
"2024-08-01",53
"2024-09-01",30
"2024-10-01",41
"2024-11-01",58
"2024-12-01",98
"2025-01-01",93
"2025-02-01",55
"2025-03-01",53
"2025-04-01",46
"2025-05-01",31
"2025-06-01",35
"2025-07-01",31
"2025-08-01",39
"2025-09-01",32
"2025-10-01",37
"2025-11-01",82
"2025-12-01",84
"2026-01-01",100
"2026-02-01",68
"2026-03-01",44
"2026-04-01",34
"2026-05-01",50
